year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1950,3,-1.42,-1.69,-1.99,-1.54,-1.75,-1.27,-1.01,-0.97,-0.98
1950,4,-1.54,-1.42,-1.69,-1.75,-1.27,-1.01,-0.97,-0.98,-1.03
1950,5,-1.75,-1.54,-1.42,-1.27,-1.01,-0.97,-0.98,-1.03,-1.23
1950,6,-1.27,-1.75,-1.54,-1.01,-0.97,-0.98,-1.03,-1.23,-1.31
1950,7,-1.01,-1.27,-1.75,-0.97,-0.98,-1.03,-1.23,-1.31,-1.3
1950,8,-0.97,-1.01,-1.27,-0.98,-1.03,-1.23,-1.31,-1.3,-1.04
1950,9,-0.98,-0.97,-1.01,-1.03,-1.23,-1.31,-1.3,-1.04,-0.38
1950,10,-1.03,-0.98,-0.97,-1.23,-1.31,-1.3,-1.04,-0.38,-0.23
1950,11,-1.23,-1.03,-0.98,-1.31,-1.3,-1.04,-0.38,-0.23,-0.01
1950,12,-1.31,-1.23,-1.03,-1.3,-1.04,-0.38,-0.23,-0.01,0
1951,1,-1.3,-1.31,-1.23,-1.04,-0.38,-0.23,-0.01,0,0.3
1951,2,-1.04,-1.3,-1.31,-0.38,-0.23,-0.01,0,0.3,0.17
1951,3,-0.38,-1.04,-1.3,-0.23,-0.01,0,0.3,0.17,0.51
1951,4,-0.23,-0.38,-1.04,-0.01,0,0.3,0.17,0.51,0.49
1951,5,-0.01,-0.23,-0.38,0,0.3,0.17,0.51,0.49,0.55
1951,6,0,-0.01,-0.23,0.3,0.17,0.51,0.49,0.55,0.31
1951,7,0.3,0,-0.01,0.17,0.51,0.49,0.55,0.31,0.13
1951,8,0.17,0.3,0,0.51,0.49,0.55,0.31,0.13,-0.01
1951,9,0.51,0.17,0.3,0.49,0.55,0.31,0.13,-0.01,-0.11
1951,10,0.49,0.51,0.17,0.55,0.31,0.13,-0.01,-0.11,-0.02
1951,11,0.55,0.49,0.51,0.31,0.13,-0.01,-0.11,-0.02,-0.14
1951,12,0.31,0.55,0.49,0.13,-0.01,-0.11,-0.02,-0.14,-0.54
1952,1,0.13,0.31,0.55,-0.01,-0.11,-0.02,-0.14,-0.54,-0.76
1952,2,-0.01,0.13,0.31,-0.11,-0.02,-0.14,-0.54,-0.76,-0.56
1952,3,-0.11,-0.01,0.13,-0.02,-0.14,-0.54,-0.76,-0.56,-0.36
1952,4,-0.02,-0.11,-0.01,-0.14,-0.54,-0.76,-0.56,-0.36,-0.46
1952,5,-0.14,-0.02,-0.11,-0.54,-0.76,-0.56,-0.36,-0.46,-0.78
1952,6,-0.54,-0.14,-0.02,-0.76,-0.56,-0.36,-0.46,-0.78,-0.39
1952,7,-0.76,-0.54,-0.14,-0.56,-0.36,-0.46,-0.78,-0.39,0.2
1952,8,-0.56,-0.76,-0.54,-0.36,-0.46,-0.78,-0.39,0.2,0.24
1952,9,-0.36,-0.56,-0.76,-0.46,-0.78,-0.39,0.2,0.24,0.29
1952,10,-0.46,-0.36,-0.56,-0.78,-0.39,0.2,0.24,0.29,0.22
1952,11,-0.78,-0.46,-0.36,-0.39,0.2,0.24,0.29,0.22,0.35
1952,12,-0.39,-0.78,-0.46,0.2,0.24,0.29,0.22,0.35,0.39
1953,1,0.2,-0.39,-0.78,0.24,0.29,0.22,0.35,0.39,0.14
1953,2,0.24,0.2,-0.39,0.29,0.22,0.35,0.39,0.14,0.09
1953,3,0.29,0.24,0.2,0.22,0.35,0.39,0.14,0.09,0.29
1953,4,0.22,0.29,0.24,0.35,0.39,0.14,0.09,0.29,0.16
1953,5,0.35,0.22,0.29,0.39,0.14,0.09,0.29,0.16,0.18
1953,6,0.39,0.35,0.22,0.14,0.09,0.29,0.16,0.18,0.41
1953,7,0.14,0.39,0.35,0.09,0.29,0.16,0.18,0.41,0.43
1953,8,0.09,0.14,0.39,0.29,0.16,0.18,0.41,0.43,0.28
1953,9,0.29,0.09,0.14,0.16,0.18,0.41,0.43,0.28,-0.38
1953,10,0.16,0.29,0.09,0.18,0.41,0.43,0.28,-0.38,-1.17
1953,11,0.18,0.16,0.29,0.41,0.43,0.28,-0.38,-1.17,-0.81
1953,12,0.41,0.18,0.16,0.43,0.28,-0.38,-1.17,-0.81,-0.93
1954,1,0.43,0.41,0.18,0.28,-0.38,-1.17,-0.81,-0.93,-1.18
1954,2,0.28,0.43,0.41,-0.38,-1.17,-0.81,-0.93,-1.18,-1.43
1954,3,-0.38,0.28,0.43,-1.17,-0.81,-0.93,-1.18,-1.43,-1.6
1954,4,-1.17,-0.38,0.28,-0.81,-0.93,-1.18,-1.43,-1.6,-1.48
1954,5,-0.81,-1.17,-0.38,-0.93,-1.18,-1.43,-1.6,-1.48,-1.13
1954,6,-0.93,-0.81,-1.17,-1.18,-1.43,-1.6,-1.48,-1.13,-1.33
1954,7,-1.18,-0.93,-0.81,-1.43,-1.6,-1.48,-1.13,-1.33,-0.93
1954,8,-1.43,-1.18,-0.93,-1.6,-1.48,-1.13,-1.33,-0.93,-0.95
1954,9,-1.6,-1.43,-1.18,-1.48,-1.13,-1.33,-0.93,-0.95,-1.06
1954,10,-1.48,-1.6,-1.43,-1.13,-1.33,-0.93,-0.95,-1.06,-1.22
1954,11,-1.13,-1.48,-1.6,-1.33,-0.93,-0.95,-1.06,-1.22,-1.28
1954,12,-1.33,-1.13,-1.48,-0.93,-0.95,-1.06,-1.22,-1.28,-1.18
1955,1,-0.93,-1.33,-1.13,-0.95,-1.06,-1.22,-1.28,-1.18,-1.15
1955,2,-0.95,-0.93,-1.33,-1.06,-1.22,-1.28,-1.18,-1.15,-1.35
1955,3,-1.06,-0.95,-0.93,-1.22,-1.28,-1.18,-1.15,-1.35,-1.43
1955,4,-1.22,-1.06,-0.95,-1.28,-1.18,-1.15,-1.35,-1.43,-2.31
1955,5,-1.28,-1.22,-1.06,-1.18,-1.15,-1.35,-1.43,-2.31,-2.45
1955,6,-1.18,-1.28,-1.22,-1.15,-1.35,-1.43,-2.31,-2.45,-2.03
1955,7,-1.15,-1.18,-1.28,-1.35,-1.43,-2.31,-2.45,-2.03,-1.2
1955,8,-1.35,-1.15,-1.18,-1.43,-2.31,-2.45,-2.03,-1.2,-0.99
1955,9,-1.43,-1.35,-1.15,-2.31,-2.45,-2.03,-1.2,-0.99,-0.83
1955,10,-2.31,-1.43,-1.35,-2.45,-2.03,-1.2,-0.99,-0.83,-0.97
1955,11,-2.45,-2.31,-1.43,-2.03,-1.2,-0.99,-0.83,-0.97,-0.8
